Seller City,Order ID,Order Delivered At,Total Weight,Volume,fulfilment_mode_id,Drop Area,Drop City,lat,lng,Pickup Area,Amount,Seller Latitude,Seller Longitude
Karachi,"3,436,926","March 30, 2024",24,0.03,1,KHI 1,Karachi,24.828748426344916,67.12001899257302,KHI 1,"9,170",24.804424,67.059560
Karachi,"3,436,951","March 30, 2024",0.3,0,1,KHI 1,Karachi,24.854504728442837,67.08406196907163,KHI 1,"1,000",24.804424,67.059560
Karachi,"3,436,979","March 30, 2024",3.6,"2,218.32",1,KHI 1,Karachi,24.857148095923126,67.0835312269628,KHI 1,"2,424",24.804424,67.059560
Karachi,"3,436,979","March 30, 2024",0.75,0,1,KHI 1,Karachi,24.857148095923126,67.0835312269628,KHI 1,870,24.804424,67.059560
Karachi,"3,436,979","March 30, 2024",3.6,0.11,1,KHI 1,Karachi,24.857148095923126,67.0835312269628,KHI 1,"2,424",24.804424,67.059560
Karachi,"3,436,987","March 30, 2024",1.2,,1,KHI 1,Karachi,24.832120468843918,67.11511624976993,KHI 1,645,24.804424,67.059560
Karachi,"3,436,987","March 30, 2024",1.2,0.02,1,KHI 1,Karachi,24.832120468843918,67.11511624976993,KHI 1,645,24.804424,67.059560
Karachi,"3,436,987","March 30, 2024",0.6,160,1,KHI 1,Karachi,24.832120468843918,67.11511624976993,KHI 1,"2,030",24.804424,67.059560
Karachi,"3,436,987","March 30, 2024",0.5,0,1,KHI 1,Karachi,24.832120468843918,67.11511624976993,KHI 1,830,24.804424,67.059560
Karachi,"3,436,995","March 30, 2024",54,0.08,1,KHI 1,Karachi,24.860350830220433,67.21385003998876,KHI 1,"2,580",24.804424,67.059560
Karachi,"3,437,010","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.902276633811567,67.1873682551086,KHI 1,"2,550",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",5.4,0,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"1,800",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",18,0.03,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"2,550",24.804424,67.059560
Karachi,"3,437,052","March 30, 2024",12.42,0.02,1,KHI 1,Karachi,24.85697925074094,67.2238758020103,KHI 1,"1,770",24.804424,67.059560
Karachi,"3,437,076","March 30, 2024",60,0.11,1,KHI 1,Karachi,24.818377600667933,67.13228607550263,KHI 1,"11,300",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",18,0.03,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",12.42,0.02,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"1,770",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",27,0.03,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"2,310",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",27,0.02,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"1,800",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",12.42,0.02,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"1,770",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",18,0.03,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"2,250",24.804424,67.059560
Karachi,"3,437,078","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"1,050",24.804424,67.059560
Karachi,"3,437,085","March 30, 2024",2.7,0.17,1,KHI 1,Karachi,24.793407315239453,67.1421498991549,KHI 1,"1,320",24.804424,67.059560
Karachi,"3,437,085","March 30, 2024",2.7,0,1,KHI 1,Karachi,24.793407315239453,67.1421498991549,KHI 1,"1,206",24.804424,67.059560
Karachi,"3,437,085","March 30, 2024",21.6,0.05,1,KHI 1,Karachi,24.793407315239453,67.1421498991549,KHI 1,"2,820",24.804424,67.059560
Karachi,"3,437,093","March 30, 2024",30,0.03,1,KHI 1,Karachi,24.884022621607677,67.13928731158376,,"8,500",24.822108,66.994897
Karachi,"3,437,096","March 30, 2024",150,0.14,1,KHI 1,Karachi,24.8335692,67.1714825,,"42,500",24.822108,66.994897
Karachi,"3,437,096","March 30, 2024",150,0.98,1,KHI 1,Karachi,24.8335692,67.1714825,,"42,500",24.822108,66.994897
Karachi,"3,437,101","March 30, 2024",30,0,1,KHI 1,Karachi,24.845519504044226,67.04823670908809,,"8,300",24.822108,66.994897
Karachi,"3,437,101","March 30, 2024",48,0.07,1,KHI 1,Karachi,24.845519504044226,67.04823670908809,,"5,300",24.822108,66.994897
Karachi,"3,437,102","March 30, 2024",1.08,0.04,1,KHI 1,Karachi,24.82997864250978,67.05613447353244,KHI 1,"1,509",24.829978950856933,67.05612072721124
Karachi,"3,437,102","March 30, 2024",0.35,0,1,KHI 1,Karachi,24.82997864250978,67.05613447353244,KHI 1,518,24.829978950856933,67.05612072721124
Karachi,"3,437,103","March 30, 2024",12,0.01,1,KHI 1,Karachi,24.845298318245185,67.05405240878463,,"3,400",24.822108,66.994897
Karachi,"3,437,111","March 30, 2024",0,0,1,KHI 2,Karachi,24.915787568618622,67.0575956068933,KHI 2,"1,020",24.88563965610987,67.06336273860903
Karachi,"3,437,124","March 30, 2024",150,0.14,1,KHI 1,Karachi,24.84755457726026,67.22875976935029,,"42,500",24.822108,66.994897
Karachi,"3,437,133","March 30, 2024",54,0.11,1,KHI 1,Karachi,24.8319713,67.1719365,,"8,175",24.822108,66.994897
Karachi,"3,437,134","March 30, 2024",54,0.11,1,KHI 1,Karachi,24.8319713,67.1719365,,"8,175",24.822108,66.994897
Karachi,"3,437,136","March 30, 2024",90,0.08,1,KHI 1,Karachi,24.81683538106265,67.17325581237674,,"25,500",24.822108,66.994897
Karachi,"3,437,142","March 30, 2024",24,0.03,1,KHI 1,Karachi,24.870718099520246,67.20263639464974,KHI 1,"4,850",24.828833,67.141806
Karachi,"3,437,143","March 30, 2024",6,0.01,1,KHI 1,Karachi,24.870718099520246,67.20263639464974,,"1,700",24.822108,66.994897
Karachi,"3,437,144","March 30, 2024",24,0.03,1,KHI 1,Karachi,24.82654598252574,67.04602556303144,KHI 1,"9,170",24.804424,67.059560
Karachi,"3,437,149","March 30, 2024",24,0.03,1,KHI 1,Karachi,24.8530082524832,67.10838926956058,KHI 1,"4,850",24.828833,67.141806
Karachi,"3,437,149","March 30, 2024",18,0.03,1,KHI 1,Karachi,24.8530082524832,67.10838926956058,KHI 1,"1,640",24.828833,67.141806
Karachi,"3,437,149","March 30, 2024",19,0.03,1,KHI 1,Karachi,24.8530082524832,67.10838926956058,KHI 1,"1,630",24.828833,67.141806
Karachi,"3,437,150","March 30, 2024",12,0.01,1,KHI 1,Karachi,24.8530082524832,67.10838926956058,,"3,400",24.822108,66.994897
Karachi,"3,437,150","March 30, 2024",18,0.04,1,KHI 1,Karachi,24.8530082524832,67.10838926956058,,"2,550",24.822108,66.994897
Karachi,"3,437,151","March 30, 2024",9.6,0.01,1,KHI 1,Karachi,24.833803108407622,67.07504907622933,KHI 1,"3,040",24.804424,67.059560
Karachi,"3,437,152","March 30, 2024",18,0.04,1,KHI 1,Karachi,24.833803108407622,67.07504907622933,,"2,550",24.822108,66.994897
Karachi,"3,437,155","March 30, 2024",30,0.03,1,KHI 1,Karachi,24.860350830220433,67.21385003998876,,"8,500",24.822108,66.994897
Karachi,"3,437,156","March 30, 2024",228,0.4,1,KHI 1,Karachi,24.83220414550935,67.0410001091659,,"5,605",24.822108,66.994897
Karachi,"3,437,157","March 30, 2024",24,0.03,1,KHI 1,Karachi,24.83220414550935,67.0410001091659,KHI 1,"3,775",24.804424,67.059560
Karachi,"3,437,158","March 30, 2024",30,0.05,1,KHI 1,Karachi,24.848363251437704,67.07475638017058,,"4,200",24.822108,66.994897
Karachi,"3,437,158","March 30, 2024",45,0.06,1,KHI 1,Karachi,24.848363251437704,67.07475638017058,,"4,200",24.822108,66.994897
Karachi,"3,437,158","March 30, 2024",18,0.04,1,KHI 1,Karachi,24.848363251437704,67.07475638017058,,"2,550",24.822108,66.994897
Karachi,"3,437,160","March 30, 2024",60,0.04,1,KHI 1,Karachi,24.850486192322652,67.06518357619643,KHI 1,"14,360",24.804424,67.059560
Karachi,"3,437,165","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.8313895,67.0421251,KHI 1,"2,520",24.828833,67.141806
Karachi,"3,437,165","March 30, 2024",45,0.06,1,KHI 1,Karachi,24.8313895,67.0421251,KHI 1,"4,200",24.828833,67.141806
Karachi,"3,437,172","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.835622041913666,67.02110918238759,KHI 1,"2,520",24.828833,67.141806
Karachi,"3,437,172","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.835622041913666,67.02110918238759,KHI 1,"2,520",24.828833,67.141806
Karachi,"3,437,172","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.835622041913666,67.02110918238759,KHI 1,"2,520",24.828833,67.141806
Karachi,"3,437,172","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.835622041913666,67.02110918238759,KHI 1,"2,520",24.828833,67.141806
Karachi,"3,437,174","March 30, 2024",30,0.09,1,KHI 1,Karachi,24.843242822969213,67.16987790539861,KHI 2,"9,300",24.8678765,67.0106529
Karachi,"3,437,175","March 30, 2024",150,0.14,1,KHI 1,Karachi,24.843242822969213,67.16987790539861,,"42,500",24.822108,66.994897
Karachi,"3,437,176","March 30, 2024",16,0.02,1,KHI 1,Karachi,24.846766903675807,67.0721355266869,KHI 1,"6,240",24.804424,67.059560
Karachi,"3,437,177","March 30, 2024",0.4,108,1,KHI 1,Karachi,24.846766903675807,67.0721355266869,KHI 1,"2,120",24.804424,67.059560
Karachi,"3,437,178","March 30, 2024",6,0.01,1,KHI 1,Karachi,24.846766903675807,67.0721355266869,,"1,700",24.822108,66.994897
Karachi,"3,437,182","March 30, 2024",25,0.04,1,KHI 1,Karachi,24.844118155541608,67.07169698551297,KHI 1,"12,370",24.892468270148278,67.18547092750669
Karachi,"3,437,183","March 30, 2024",0.4,0,1,KHI 1,Karachi,24.824885465829915,67.11869297549129,KHI 1,740,24.804424,67.059560
Karachi,"3,437,183","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.824885465829915,67.11869297549129,KHI 1,"2,550",24.804424,67.059560
Karachi,"3,437,183","March 30, 2024",0.6,0,1,KHI 1,Karachi,24.824885465829915,67.11869297549129,KHI 1,700,24.804424,67.059560
Karachi,"3,437,184","March 30, 2024",0.5,0,1,KHI 1,Karachi,24.824885465829915,67.11869297549129,KHI 1,"1,150",24.8082278,67.1471825
Karachi,"3,437,195","March 30, 2024",26.64,,1,KHI 1,Karachi,24.828666874014925,67.1189578436315,KHI 1,"3,750",24.828833,67.141806
Karachi,"3,437,196","March 30, 2024",9,0.01,1,KHI 1,Karachi,24.828666874014925,67.1189578436315,,"2,550",24.822108,66.994897
Karachi,"3,437,197","March 30, 2024",12,,1,KHI 1,Karachi,24.828666874014925,67.1189578436315,KHI 1,"5,184",24.892468270148278,67.18547092750669
Karachi,"3,437,198","March 30, 2024",6.75,0,1,KHI 1,Karachi,24.828666874014925,67.1189578436315,KHI 1,"2,820",24.80822,67.145555
Karachi,"3,437,199","March 30, 2024",38.4,0,1,KHI 1,Karachi,24.828666874014925,67.1189578436315,KHI 1,"2,398",24.804424,67.059560
Karachi,"3,437,199","March 30, 2024",2,0,1,KHI 1,Karachi,24.828666874014925,67.1189578436315,KHI 1,"1,170",24.804424,67.059560
Karachi,"3,437,200","March 30, 2024",75,0.42,1,KHI 1,Karachi,24.830163349342982,67.17017965391278,,"21,250",24.822108,66.994897
Karachi,"3,437,201","March 30, 2024",27,0.04,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 1,"2,550",24.804424,67.059560
Karachi,"3,437,214","March 30, 2024",9.6,0.02,1,KHI 1,Karachi,24.8461748,67.048825,KHI 1,"4,730",24.892468270148278,67.18547092750669
Karachi,"3,437,217","March 30, 2024",0,0,1,KHI 1,Karachi,24.830733565117143,67.1174336783588,KHI 2,"1,700",24.8678765,67.0106529
Karachi,"3,437,226","March 30, 2024",10,0.01,1,KHI 1,Karachi,24.865151403345124,67.08457326516509,KHI 1,"2,187",24.829647,67.045755
Karachi,"3,437,227","March 30, 2024",0.78,0,1,KHI 1,Karachi,24.865151403345124,67.08457326516509,KHI 1,870,24.847591,67.077092
Karachi,"3,437,228","March 30, 2024",6.13,5,1,KHI 1,Karachi,24.865151403345124,67.08457326516509,KHI 1,"3,700",24.844034,67.078309
Karachi,"3,437,230","March 30, 2024",40,0.06,1,KHI 1,Karachi,24.8846189,67.1361342,KHI 2,"1,816",24.8678765,67.0106529
Karachi,"3,437,233","March 30, 2024",12,50.4,1,KHI 1,Karachi,24.84731605749405,67.10042143240571,KHI 1,"4,400",24.80822,67.145555
Karachi,"3,437,234","March 30, 2024",90,0.14,1,KHI 1,Karachi,24.85994045544852,67.08641896024346,,"3,600",24.822108,66.994897
Karachi,"3,437,237","March 30, 2024",8.78,0,1,KHI 1,Karachi,24.89152333239727,67.17378320172429,KHI 1,"9,600",24.80822,67.145555
Karachi,"3,437,238","March 30, 2024",30,0.04,1,KHI 1,Karachi,24.822443463250764,67.13975368067622,KHI 2,"14,700",24.8543196,67.0109556
Karachi,"3,437,239","March 30, 2024",20,0.03,1,KHI 1,Karachi,24.822443463250764,67.13975368067622,KHI 1,"9,816",24.892468270148278,67.18547092750669
Karachi,"3,437,240","March 30, 2024",36,0.11,1,KHI 1,Karachi,24.831296179195903,67.15991685166955,,"10,020",24.822108,66.994897
Karachi,"3,437,243","March 30, 2024",2.7,0.17,1,KHI 1,Karachi,24.812135457413447,67.10397971794009,KHI 1,"1,320",24.804424,67.059560
Karachi,"3,437,244","March 30, 2024",10.8,0.02,1,KHI 1,Karachi,24.812135457413447,67.10397971794009,KHI 1,"4,449",24.824256421639586,67.10798339613159
Karachi,"3,437,246","March 30, 2024",200,0.28,1,KHI 1,Karachi,24.818377600667933,67.13228607550263,KHI 2,"9,080",24.8678765,67.0106529
Karachi,"3,437,251","March 30, 2024",6.75,0,1,KHI 1,Karachi,24.85611283668744,67.07984453067183,KHI 1,"3,015",24.804424,67.059560
Karachi,"3,437,252","March 30, 2024",10,0.01,1,KHI 1,Karachi,24.85611283668744,67.07984453067183,KHI 1,"4,960",24.892468270148278,67.18547092750669
Karachi,"3,437,253","March 30, 2024",150,0.13,1,KHI 1,Karachi,24.885084103901235,67.17538749799132,KHI 1,"20,700",24.804424,67.059560
Karachi,"3,437,254","March 30, 2024",50,0.04,1,KHI 1,Karachi,24.885084103901235,67.17538749799132,KHI 1,"4,275",24.829647,67.045755
Karachi,"3,437,254","March 30, 2024",10,0.03,1,KHI 1,Karachi,24.885084103901235,67.17538749799132,KHI 1,"7,322",24.829647,67.045755
Karachi,"3,437,255","March 30, 2024",21.6,0.03,1,KHI 1,Karachi,24.885084103901235,67.17538749799132,KHI 1,"8,098",24.824256421639586,67.10798339613159
Karachi,"3,437,258","March 30, 2024",19.2,0.03,1,KHI 1,Karachi,24.845298318245185,67.05405240878463,,"3,912",24.822108,66.994897
Karachi,"3,437,262","March 30, 2024",36,0.08,1,KHI 1,Karachi,24.865556016144193,67.08135629072785,,"5,450",24.822108,66.994897
Karachi,"3,437,266","March 30, 2024",4.2,0.22,1,KHI 1,Karachi,24.8479865979028,67.0755016990006,,"7,920",24.822108,66.994897
Karachi,"3,437,266","March 30, 2024",3.4,0.18,1,KHI 1,Karachi,24.8479865979028,67.0755016990006,,"6,740",24.822108,66.994897
Karachi,"3,437,268","March 30, 2024",90,0.14,1,KHI 1,Karachi,24.8319713,67.1719365,,"3,600",24.822108,66.994897
Karachi,"3,437,268","March 30, 2024",60,0.11,1,KHI 1,Karachi,24.8319713,67.1719365,,"3,600",24.822108,66.994897
Karachi,"3,437,282","March 30, 2024",45,0.06,1,KHI 1,Karachi,24.90855927883239,67.19128360971808,,"4,200",24.822108,66.994897
Karachi,"3,437,282","March 30, 2024",9.6,0.01,1,KHI 1,Karachi,24.90855927883239,67.19128360971808,,"1,950",24.822108,66.994897
Karachi,"3,437,283","March 30, 2024",20,0.03,1,KHI 1,Karachi,24.90855927883239,67.19128360971808,KHI 2,"9,000",24.8543196,67.0109556
Karachi,"3,437,287","March 30, 2024",1.5,,1,KHI 1,Karachi,24.8411191,67.0555026,KHI 1,"1,464",24.804424,67.059560
Karachi,"3,437,287","March 30, 2024",0.6,"1,520",1,KHI 1,Karachi,24.8411191,67.0555026,KHI 1,"1,740",24.804424,67.059560
Karachi,"3,437,289","March 30, 2024",10,0.01,1,KHI 1,Karachi,24.8411191,67.0555026,KHI 1,"1,000",24.804424,67.059560
Karachi,"3,437,297","March 30, 2024",12,0.02,1,KHI 1,Karachi,24.861146632854627,67.21403243020177,KHI 1,"1,930",24.828833,67.141806
Karachi,"3,437,298","March 30, 2024",4.39,0,1,KHI 1,Karachi,24.88370356573865,67.1634473092854,KHI 1,"4,800",24.80822,67.145555
Karachi,"3,437,300","March 30, 2024",65,0.09,1,KHI 1,Karachi,24.87617258120181,67.18957571312785,KHI 1,"32,240",24.892468270148278,67.18547092750669
Karachi,"3,437,300","March 30, 2024",,0.04,1,KHI 1,Karachi,24.87617258120181,67.18957571312785,KHI 1,"11,900",24.892468270148278,67.18547092750669
Karachi,"3,437,302","March 30, 2024",9.6,0.02,1,KHI 1,Karachi,24.87617258120181,67.18957571312785,KHI 1,"4,300",24.80822,67.145555
Karachi,"3,437,091","March 30, 2024",0.08,0,1,KHI 2,Karachi,24.933667789118488,67.01381793245673,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,099","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.885084103901235,67.17538749799132,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,104","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.8156715,67.1672648,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,105","March 30, 2024",0.08,0,1,KHI 2,Karachi,24.928731201093164,66.9949291460216,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,107","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.8235477714623,67.08463294431567,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,108","March 30, 2024",0.08,0,1,KHI 3,Karachi,24.922232,67.083788,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,109","March 30, 2024",0.16,0,1,KHI 1,Karachi,24.830153907394696,67.170285936445,KHI 2,"1,690",24.88563965610987,67.06336273860903
Karachi,"3,437,123","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.848299046854365,67.0536825992167,KHI 2,"1,029",24.88563965610987,67.06336273860903
Karachi,"3,437,126","March 30, 2024",0.16,0,1,KHI 1,Karachi,24.8237339,67.0816203,KHI 2,"1,690",24.88563965610987,67.06336273860903
Karachi,"3,437,131","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.828677849409573,67.10756147280335,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,179","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.8337494,67.1729925,KHI 2,"1,029",24.88563965610987,67.06336273860903
Karachi,"3,437,267","March 30, 2024",0.22,0,1,KHI 1,Karachi,24.82752245739274,67.04587770625949,KHI 2,"2,287",24.88563965610987,67.06336273860903
Karachi,"3,437,267","March 30, 2024",0.5,0,1,KHI 1,Karachi,24.82752245739274,67.04587770625949,KHI 2,"3,900",24.88563965610987,67.06336273860903
Karachi,"3,437,274","March 30, 2024",0.08,0,1,KHI 2,Karachi,24.9448813,66.9654268,KHI 2,845,24.88563965610987,67.06336273860903
